Class,Dutch ,English translation
Action,Hard wegrennen,Running away fast
,Iemand wegduwen,Pushing someone away
,Iemand stevig vastpakken,Holding someone tightly
,Je hoofd schudden,Shaking your head
,Heftige armgebaren maken,Making big arm gestures
,Ergens voor terugdeinzen,Recoiling from something
,Je ogen dichtknijpen,Closing your eyes tightly
,Je ogen wijd open sperren,Opening your eyes widely
,Je wenkbrauwen fronsen,Frowning with your eyebrows
,Je schouders ophalen,Raising your shoulders
,Op de vloer stampen,Stamping on the floor
,In elkaar duiken,Cowering
,Je schouders laten hangen,Slumping your shoulders
,Je vuisten ballen,Tighten your fists
,Je borst vooruit duwen,Push your chest forward
,Je tanden op elkaar zetten,Clench your teeth
,Je hand voor je mond slaan,Put your hand in front of your mouth
,Onrustig bewegen,Moving restlessly
,Heen en weer lopen,Walking back and forth
,Je hoofd afkeren,Turning your head away
Interoception,Een brok in je keel,A lump in your throat
,Buiten adem zijn,Being out of breath
,Een versnelde hartslag,A fast beating heart
,Je hart klopt in de keel,You heart is beating in your throat
,Een benauwd gevoel,An oppressed feeling
,Een misselijk gevoel,Being nauseous
,Druk op je borst,A pressure on your chest
,Strak aangespannen spieren,Tense muscles
,Een droge keel,A dry throat
,Koude rillingen hebben,Cold shivers
,Bloed stroomt naar je hoofd,Blood is going to your head
,Een verdoofd gevoel,A numb feeling
,Je hebt tintelende ledenmaten,Tingling limbs
,Een verlaagde hartslag,A slow heartbeat
,Je hebt zware ledematen,Heavy limbs
,Een versnelde ademhaling,Fast breathing
,Je hebt hoofdpijn,Headache
,Je hebt buikpijn,Stomachache
,Zweet staat in je handen,Sweaty palms
,Je maag keert zich om,Your stomach churns
Situation,Vals beschuldigd worden,Being falsely accused
,Dierbare overlijdt,A loved one dies
,Vlees is bedorven,Meat that has gone off
,Je wordt bijna aangereden,You are almost hit by a car
,Iemand naast je braakt,Someone next to you vomits
,Huis staat in brand,House is on fire
,Zonder reden ontslagen worden,Being fired for no reason
,Een ongemakkelijke stilte,An uncomfortable silence
,Alleen in donker park,Alone in a dark park
,Inbraak in je huis,A house burglary
,Een gewond dier zien,Seeing a wounded animal
,Tentamen verknallen,Messing up your exam
,Je partner bedriegt je,You partner cheats on you
,Dierbare is vermist,A loved one is missing
,Belangrijke sollicitatie vergeten,Forgot a job interview
,Onvoorbereid presentatie geven,Giving a presentation unprepared
,Je baas beledigt je,Your boss offends you
,Goede vriend negeert je,A good friend neglects you
,Slecht nieuws bij arts,Bad news at the doctor
,Bommelding in metro,A bomb alarm in the metro
